0;0;0;0;x;x
1;140;60;240;1;x
2;120;200;220;2;x
3;220;20;60;3;x
4;140;80;120;4;x
5;160;220;40;5;x
6;200;20;200;6;x
7;40;60;80;7;x
8;0;180;120;8;x
9;120;180;80;9;x
10;160;20;180;10;x
11;160;160;120;11;x
12;120;40;20;12;x
13;60;20;220;13;x
14;180;160;20;14;x
15;140;20;20;15;x
16;220;240;80;16;x
17;100;180;240;17;x
18;220;120;60;18;x
19;180;240;200;19;x
20;80;200;60;20;x
21;180;240;40;21;x
22;100;180;0;22;x
23;220;160;120;23;x
24;180;140;120;24;x
25;40;40;40;25;x
26;240;40;200;26;x
27;240;0;40;27;x
28;180;60;60;28;x
29;60;140;220;29;x
30;60;220;180;30;x
31;120;140;20;31;x
32;160;200;60;32;x
33;140;180;140;33;x
34;120;60;180;34;x
35;140;60;140;35;x
36;20;20;160;36;x
37;140;180;240;37;x
38;80;160;60;38;x
39;200;100;240;39;x
40;140;240;220;40;x
41;160;100;120;41;x
42;100;60;160;42;x
43;240;240;120;43;x
44;20;120;80;44;x
45;240;180;40;45;x
46;220;160;180;46;x
47;80;240;200;47;x
48;120;200;180;48;x
49;220;80;200;49;x
50;240;0;120;50;x
51;255;255;255;terrain;x
